period,daten,open_BTC_USD,volume_BTC_USD,open__GSPC,volume__GSPC,open__IXIC,volume__IXIC,open_JPM,volume_JPM,open_BAC,volume_BAC,open_WFC,volume_WFC,open_C,volume_C,open_GS,volume_GS,open_MS,volume_MS,open_USB,volume_USB,open_PNC,volume_PNC,open_TFC,volume_TFC,open_COF,volume_COF,open_FITB,volume_FITB,open_KEY,volume_KEY,open_RF,volume_RF,open_HBAN,volume_HBAN,open_MTB,volume_MTB,open_DFS,volume_DFS,open_FRC,volume_FRC,open_SIVB,volume_SIVB,open_ZION,volume_ZION,open_ALLY,volume_ALLY,month,day,banks_crisis,l_BTC,l_SP500,l_NQ,l_BTC_sh,l_SP500_sh,l_NQ_sh,id,av_banks,l_av_banks,l_av_banks_sh
24feb2023,24feb2023,23946.007813,26811744928,3973.23999,3877700000,11404.179688,4432650000,139.110001,9126900,33.860001,27046600,45.84,16040300,50,14547300,360.170013,2428600,97.150002,5414200,47.209999,4141500,156.509995,1553400,46.310001,5382300,107.559998,1931900,35.669998,3728300,17.98,16929600,22.799999,6375800,14.97,10727700,153.940002,1046600,109.029999,2121500,,,281,649155,48.799999,1296200,29.870001,3449100,2,24,0,10.083557,8.2873373,9.3417349,-.010167122,-.011351585,-.02020359,55,1797.7802,7.494308,-.013442516
25feb2023,25feb2023,23200.125,16100721565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,10.051913,,,-.031643867,,,56,,,
26feb2023,26feb2023,23174.150391,16644534842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,0,10.050793,,,-.0011205673,,,57,,,
27feb2023,27feb2023,23561.451172,22660763494,3992.360107,3836950000,11517.19043,4494000000,142.110001,10014700,34.450001,30137500,46.939999,15468200,50.5,14190200,368.220001,2842400,98.410004,5645000,47.93,4260200,160.070007,1488300,47.540001,4659700,111,1792400,36.720001,4663100,18.290001,8188600,23.4,6826700,15.44,10134800,157.729996,1008900,113.339996,1684800,,,287.589996,583891,50.810001,1167800,30.719999,3640600,2,27,0,10.067368,8.2921381,9.3515959,.01657486,,,58,1841.2098,7.518178,
28feb2023,28feb2023,23521.837891,20535363434,3977.189941,5043400000,11451.049805,5340950000,142.940002,11019800,34.349998,32620600,46.669998,18627200,50.48,12932400,366,4945600,97.120003,6745300,47.700001,6209100,158.559998,2740900,47.240002,6423900,109.440002,2777500,36.389999,5627400,18.200001,13251800,23.43,8711300,15.34,14643200,155.490005,1197500,111.489998,2170500,,,288.5,573215,50.689999,1475200,29.690001,5544400,2,28,0,10.065684,8.288331,9.3458366,-.0016832352,-.0038070679,-.0057592392,59,1829.7198,7.5119181,-.0062599182
01mar2023,01mar2023,23150.929688,24662841200,3963.340088,4249480000,11447.580078,4927530000,142.100006,7139200,34.150002,29281600,46.5,13382200,50.459999,15966000,349.390015,2717400,95.959999,5429600,47.189999,7123400,156.979996,2504800,46.610001,5497100,109.489998,1976200,36.200001,3807600,18.290001,11105800,23.190001,6898600,15.31,11757700,154.360001,1398500,111.389999,1806200,,,284.640015,393543,50.259998,1128600,30.120001,4028200,3,1,1,10.04979,8.2848425,9.3455334,-.015893936,-.0034885406,-.00030326843,60,1802.5901,7.4969797,
02mar2023,02mar2023,23647.019531,20386398516,3938.679932,4244900000,11273.769531,5313760000,142.240005,11106800,33.66,44607200,46.459999,19115000,51.18,18104500,343.98999,3259800,95.449997,4632400,47.18,6437000,153.850006,3523000,46.209999,8375800,106.68,2178700,35.950001,4992500,18.17,15062700,23.120001,9871400,15.18,11208400,153.5,1731800,111.610001,1533500,,,276.390015,746564,49.970001,1528900,29.639999,3307900,3,2,1,10.070992,8.2786007,9.3302336,.021202087,-.0062417984,-.015299797,61,1780.4301,7.4846101,-.012369633
03mar2023,03mar2023,23476.632813,26062404610,3998.02002,4084730000,11524.650391,5102210000,141.509995,9513100,33.650002,39109100,46.02,14947200,51.48,15879900,350.640015,2396200,96.55000299999999,6504000,46.52,4566900,151.610001,2465800,45.900002,5544100,109.150002,1725400,35.830002,4431900,18.08,8788600,23,7674600,15.03,14027400,150.470001,1250900,113.169998,1844000,,,280.339996,357199,48.639999,1499200,30.52,3316900,3,3,1,10.063761,8.2935543,9.3522434,-.0072317123,.014953613,.02200985,62,1788.11,7.4889145,.004304409
04mar2023,04mar2023,22362.923828,11166012913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,10.01516,,,-.048601151,,,63,,,
05mar2023,05mar2023,22354.144531,13317001733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,10.014767,,,-.00039291382,,,64,,,
06mar2023,06mar2023,22436.816406,17353192895,4055.149902,4000870000,11736.870117,4982880000,143.440002,9261300,34.240002,36646700,46.880001,14236000,52.360001,12693300,358.059998,1614200,98.44000199999999,5215200,47.18,5604200,153.880005,2454200,46.369999,5702000,109.629997,1758700,36.34,4273000,18.33,11412000,23.4,7120300,15.24,11530800,151.940002,1391500,114.650002,1842000,,,284.829987,542443,49.419998,1644600,30.57,3706400,3,6,1,10.018458,8.3077431,9.3704901,.0036916733,,,65,1815.1998,7.5039511,
07mar2023,07mar2023,22428.322266,22765452204,4048.26001,3922500000,11670.980469,5422820000,142.009995,11747600,33.849998,52855300,46.189999,24056800,51.799999,30953800,355.549988,2048500,98,5461400,46.790001,6072200,151.320007,3520400,45.700001,7193600,107.889999,2823100,36.34,5971500,17.85,21675500,23.15,9243500,15.13,18582400,150.339996,1586500,113.480003,2070000,,,280.390015,830518,48.330002,2200200,30.01,3309800,3,7,1,10.01808,8.3060427,9.3648605,-.0003786087,-.0017004013,-.0056295395,66,1794.1199,7.49227,-.01168108
08mar2023,08mar2023,22216.441406,22536575684,3987.550049,3535570000,11553.089844,5085970000,138,10002500,32.66,40045600,44.259998,14852000,51.060001,12847700,346.190002,1584600,95.63999899999999,4121300,45.549999,4651200,145.169998,2574700,44.150002,5398600,106.050003,2338500,34.34,6381500,17.51,12258700,22.41,14364400,14.46,17392800,144.309998,2294200,111.529999,1551700,,,266.859985,835185,46.66,1725400,29.440001,2745000,3,8,0,10.008588,8.2909327,9.3547087,-.0094919205,-.015110016,-.010151863,67,1736.25,7.4594827,-.032787323
09mar2023,09mar2023,21720.080078,30364664171,3998.659912,4445260000,11578.30957,5061790000,136.759995,25888100,32.279999,112457900,43.439999,33599800,50.580002,29460100,349.200012,3177800,95.360001,9162400,45.110001,10961800,143.979996,4320000,43.290001,13061700,104.68,2790600,33.360001,6313800,17.09,25718500,21.370001,14824900,14.27,20986200,139.009995,2648000,110.419998,1957300,,,176.550003,38746481,45.830002,5340900,29.309999,8593400,3,9,0,9.9859924,8.2937145,9.3568888,-.022595406,.002781868,.0021800995,68,1631.89,7.3974943,-.061988354
10mar2023,10mar2023,20367.001953,39578257695,3912.77002,5518190000,11325.360352,6193500000,128.960007,37599700,30.32,165330900,40.580002,55435400,48.080002,29770800,338.869995,4559700,91.76999699999999,16206500,40.880001,23573700,134.210007,6957800,40.450001,26845600,99.620003,5669100,30.73,16480000,15.45,42348500,20.34,23657200,13.24,43247700,128.720001,4544900,104,3118100,,,106.040001,0,37.689999,11346600,26.719999,13768900,3,10,0,9.9216709,8.2720013,9.3347998,-.064321518,-.021713257,-.022089005,69,1476.6699,7.297545,-.09994936
11mar2023,11mar2023,20187.876953,30180288176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,9.912838,,,-.0088329315,,,70,,,
12mar2023,12mar2023,20628.029297,29279035521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,9.9344063,,,.021568298,,,71,,,
13mar2023,13mar2023,22156.40625,49466362688,3835.120117,6558020000,11041.459961,6201490000,131.210007,42901100,28.92,218403300,39.799999,78806900,47,50709200,319.670013,5660700,88.54000099999999,15175400,38.049999,36746000,129.330002,14700700,33.27,61976500,94.67999999999999,7336300,26.709999,48287400,12.24,111197500,14.21,41541700,11.96,79742800,124.5,7864400,99.25,3850100,,,106.040001,0,26.25,26129900,24.58,27704500,3,13,0,10.005882,8.251956,9.309413,.071475983,,,72,1396.2101,7.2415166,
14mar2023,14mar2023,24201.765625,54622230164,3894.01001,5665870000,11357.730469,5533120000,135.279999,29648100,29.99,154255800,41.5,52855100,47.209999,42165900,324.769989,3785900,92.410004,11089300,39.119999,28999400,137.5,8289500,35.400002,46857500,96.91999799999999,5396100,29.15,41568400,13.59,73411900,19.879999,27123800,13.02,67471600,135.149994,4248600,101.839996,3179100,,,106.040001,0,36.18,17257000,24.99,18571000,3,14,0,10.094181,8.2671947,9.3376541,.088298798,.015238762,.028241158,73,1459.9402,7.2861509,.044634342
15mar2023,15mar2023,24770.925781,43655701450,3876.73999,6594010000,11291.169922,5912430000,130.979996,34280600,27.879999,131104400,38.299999,47324600,45.439999,41832800,310.769989,6596700,86.92999999999999,14814000,36.299999,33125800,126.089996,7609800,31.450001,38942600,91.54000099999999,6946200,24.98,37870100,11.46,58652900,18.26,31085300,10.68,71165700,122.75,3629900,97.849998,3334400,,,106.040001,0,29.93,9338700,22.25,15155800,3,15,0,10.117426,8.2627497,9.3317766,.023244858,-.004445076,-.0058774948,74,1369.88,7.2224784,-.063672543
16mar2023,16mar2023,24373.457031,33866061747,3878.929932,5695790000,11384.870117,5498920000,128.009995,24558500,28.379999,108348800,38.630001,40388800,44.66,28877300,309,4399100,84.55000299999999,15342400,35.200001,51459200,124.5,7677700,31.879999,42679800,90.88999899999999,3983200,25.23,37607400,11.61,76220300,17.379999,31920300,10.75,47780600,124.339996,2999300,94.69000199999999,3614000,,,106.040001,0,29.940001,11463500,22.879999,10790100,3,16,0,10.10125,8.2633142,9.3400402,-.016176224,.0005645752,.008263588,75,1358.5599,7.2141805,-.0082979202
17mar2023,17mar2023,25055.123047,50730261335,3958.689941,9354280000,11696.339844,7903090000,128.380005,38396000,28.66,130665500,38.759998,47403800,44.98,37130200,310.089996,6369800,86.489998,19935800,35.5,56442900,127.790001,9095300,32.099998,46869400,92.610001,6716500,25.82,29977200,11.91,70676000,18.219999,40250900,10.62,80446700,126.910004,6635000,94.709999,6380800,,,106.040001,0,31.67,11221700,22.9,10479500,3,17,0,10.128834,8.2836685,9.3670311,.027584076,.020354271,.026990891,76,1374.1599,7.2255979,.011417389
18mar2023,18mar2023,27448.117188,35723036817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,0,10.220053,,,.091218948,,,77,,,
19mar2023,19mar2023,26969.503906,37769448859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,0,10.202462,,,-.017590523,,,78,,,
